domain,date,time(sec)
www.google.com,9/21/2021,3
www.google.com,9/30/2021,5
www.google.com,10/5/2021,98
www.google.com,10/10/2021,662
www.google.com,10/11/2021,33
www.google.com,10/12/2021,159
www.google.com,10/13/2021,2296
www.google.com,10/14/2021,55
stackoverflow.com,9/21/2021,40
stackoverflow.com,10/10/2021,230
stackoverflow.com,10/11/2021,117
stackoverflow.com,10/12/2021,540
login.microsoftonline.com,9/30/2021,14
login.microsoftonline.com,10/10/2021,32
login.microsoftonline.com,10/13/2021,30
login.microsoftonline.com,10/21/2021,6
mavcare.uta.edu,9/30/2021,35
zoom.us,9/30/2021,49
www.adobe.com,9/30/2021,86
documentcloud.adobe.com,9/30/2021,32
accounts.google.com,9/30/2021,2
accounts.google.com,10/5/2021,28
adobeid-na1.services.adobe.com,9/30/2021,20
ims-na1.adobelogin.com,9/30/2021,1
uta.instructure.com,9/30/2021,308
uta.instructure.com,10/21/2021,2794
app.diagrams.net,10/5/2021,7883
drive.google.com,10/5/2021,48
drive.google.com,10/12/2021,15
docs.google.com,10/5/2021,18
mail.google.com,10/5/2021,7
mail.google.com,10/13/2021,76
www.diagrams.net,10/5/2021,181
www.bleepingcomputer.com,10/10/2021,44
superuser.com,10/10/2021,166
superuser.com,10/11/2021,35
superuser.com,10/12/2021,138
dev.to,10/10/2021,299
developer.mozilla.org,10/10/2021,264
developer.chrome.com,10/10/2021,148
chrome.google.com,10/10/2021,568
chrome.google.com,11/11/2021,10
support.google.com,10/10/2021,22
www.easeus.com,10/10/2021,20
manivannan-ai.medium.com,10/10/2021,9
www.makeuseof.com,10/10/2021,157
blog.hubspot.com,10/10/2021,49
zapier.com,10/10/2021,281
www.quora.com,10/10/2021,45
www.promptcloud.com,10/10/2021,121
docs.microsoft.com,10/10/2021,32
pypi.org,10/10/2021,281
pypi.org,10/11/2021,259
pypi.org,10/12/2021,165
www.liquidweb.com,10/10/2021,76
www.liquidweb.com,10/11/2021,11
www.educative.io,10/10/2021,59
www.educative.io,10/11/2021,13
www.educative.io,10/12/2021,5
bootstrap.pypa.io,10/10/2021,17
pythonexamples.org,10/11/2021,16
www.learnpython.org,10/11/2021,40
github.com,10/12/2021,1004
leveldb.org,10/12/2021,4
source.chromium.org,10/12/2021,208
www.py4u.net,10/12/2021,27
pan.baidu.com,10/12/2021,10
titanwolf.org,10/12/2021,56
groups.google.com,10/12/2021,108
dev.chromium.org,10/12/2021,25
chromium.googlesource.com,10/12/2021,23
dfir.blog,10/12/2021,94
www.cclsolutionsgroup.com,10/12/2021,89
careers.google.com,10/13/2021,57
www.uta.edu,10/13/2021,5
mymav.utshare.utsystem.edu,10/13/2021,239
